Parent Region,District,2001_Grasslands,2001_Croplands,2001_Urban and Built-up Lands,2001_Barren,2001_Your Landcover Name for 17,2001_Evergreen Broadleaf Forests,2001_Deciduous Broadleaf Forests,2001_Woody Savannas,2001_Savannas,2005_Grasslands,2005_Croplands,2005_Urban and Built-up Lands,2005_Barren,2005_Your Landcover Name for 17,2005_Evergreen Broadleaf Forests,2005_Deciduous Broadleaf Forests,2005_Mixed Forests,2005_Woody Savannas,2005_Savannas,2010_Grasslands,2010_Croplands,2010_Urban and Built-up Lands,2010_Barren,2010_Your Landcover Name for 17,2010_Evergreen Broadleaf Forests,2010_Deciduous Broadleaf Forests,2010_Mixed Forests,2010_Woody Savannas,2010_Savannas,2015_Grasslands,2015_Croplands,2015_Urban and Built-up Lands,2015_Cropland/Natural Vegetation Mosaics,2015_Barren,2015_Your Landcover Name for 17,2015_Evergreen Broadleaf Forests,2015_Deciduous Broadleaf Forests,2015_Mixed Forests,2015_Woody Savannas,2015_Savannas,2020_Grasslands,2020_Croplands,2020_Urban and Built-up Lands,2020_Cropland/Natural Vegetation Mosaics,2020_Barren,2020_Your Landcover Name for 17,2020_Evergreen Broadleaf Forests,2020_Deciduous Broadleaf Forests,2020_Mixed Forests,2020_Woody Savannas,2020_Savannas
Cordillera Administrative region (CAR),Abra,269.1627451,118.5598039,11.75,1.5,1.75,1579.585294,7.989215686,1348.716667,595.6892157,242.1127451,131.0745098,11.75,1.75,1.75,1596.068627,17.72058824,0.5,1376.583333,555.3931373,222.8156863,104.8245098,11.75,1.75,1.75,1641.189216,49.31960784,0.5,1346.660784,554.1431373,191.4235294,128.8245098,11.75,0.25,1.25,1.75,1683.84902,85.01568627,1,1234.238235,595.3519608,153.2147059,148.0745098,11.75,1.25,1.25,1.75,1786.77549,65.44117647,0.024509804,1223.208824,541.9637255
Cordillera Administrative region (CAR),Apayao,98.12941176,82.05588235,1,,,3341.451961,,299.7470588,98.90294118,104.5901961,78.06960784,1,,,3250.866667,,,382.6392157,100.1235294,98.65686275,69.18137255,1,,,3170.362745,,,437.4196078,136.1627451,78.15294118,79.75490196,1,15.56764706,,,3118.619608,,,490.6460784,151.3294118,97.13529412,96.51666667,1,9.132352941,,,3054.758824,,,521.5852941,154.9421569
Cordillera Administrative region (CAR),Benguet,34.70098039,,39.5,,,719.9656863,,1227.391176,525.8911765,24.2372549,,39.5,,,746.9176471,,,1225.569608,510.7245098,21.9872549,,39.5,,,793.1715686,,,1188.85,503.9401961,24.4872549,,39.5,,,,844.8352941,,0.25,1115.288235,523.3372549,29.92156863,0.75,39.5,,,,926.0284314,,,1104.39902,447.6
Cordillera Administrative region (CAR),Ifugao,29.35294118,36.50392157,,,5.446078431,1023.079412,,357.2764706,1226.39902,46.25980392,40.78529412,,,5.196078431,973.7980392,,,407.2519608,1216.140196,66.53235294,34.28235294,,,5.446078431,961.2539216,,,401.8323529,1208.676471,95.05294118,31.08627451,,43.90490196,,4.695098039,962.9754902,,,428.7892157,1132.256863,59.86078431,41.87254902,,49.1627451,,5.446078431,1010.295098,,,450.7421569,1081.151961
Cordillera Administrative region (CAR),Kalinga,117.8029412,32.66176471,2.75,,,1720.217647,,194.9186275,867.2186275,163.7,41.6127451,2.75,,,1666.832353,,,263.9098039,801.3156863,195.9127451,44.09019608,2.75,,,1570.106863,,,361.7607843,755.5098039,182.6637255,79.02843137,2.75,58.22254902,,,1512.001961,,,423.5352941,713.5980392,141.7833333,118.3813725,2.75,63.50392157,,,1517.411765,,,413.7735294,714.1960784
Cordillera Administrative region (CAR),Mountain Province,24.43627451,12.61372549,1.647058824,,,1135.926471,,360.2539216,428.9215686,19.5627451,18.98627451,1.647058824,,,1111.568627,,,387.1392157,429.3313725,15.90784314,16.58137255,1.647058824,,,1113.179412,,,390.6735294,425.2019608,19.94509804,17.30980392,1.647058824,72.08333333,,,1101.635294,,,387.3421569,413.1941176,13.99901961,26.30294118,1.647058824,78.42058824,,,1157.45,,0.105882353,379.4794118,355.7519608
National Capital region (NCR),Metropolitan Manila,8.079411765,13.66862745,533.8715686,0.802941176,121.9588235,16.23823529,,6.314705882,10.40196078,8.429411765,12.49901961,534.1941176,0.802941176,121.9588235,16.48823529,,,6.011764706,10.83137255,9.670588235,8.479411765,534.9166667,0.580392157,121.9588235,16.53235294,,,5.778431373,13.11862745,8.48627451,8.620588235,535.1931373,2.119607843,0.580392157,121.9588235,16.53235294,,,6.174509804,13.66176471,8.294117647,6.814705882,537.0696078,2.208823529,0.330392157,121.9588235,17.66568627,,,5.518627451,14.21666667
Region I (Ilocos region),Ilocos Norte,293.795098,512.3382353,41.74019608,2.662745098,16.03921569,1145.648039,18.00098039,654.0647059,757.5852941,253.3598039,532.3431373,41.74019608,2.801960784,16.03921569,1141.155882,35.44509804,5.624509804,732.8715686,682.7754902,271.4764706,481.4372549,41.74019608,3.06372549,16.03921569,1152.509804,30.94509804,2.374509804,769.8970588,675.2470588,261.8754902,504.8245098,41.74019608,0.25,1.892156863,16.03921569,1144.910784,43.19509804,2.624509804,746.3598039,681.4039216,183.6529412,436.1872549,41.74019608,3,1.249019608,16.03921569,1250.889216,29.81960784,0.25,812.8362745,668.4745098
Region I (Ilocos region),Ilocos Sur,232.0823529,429.2568627,21.56862745,2.446078431,29.9745098,506.0705882,15.06666667,961.9666667,351.3686275,185.6401961,419.0539216,21.56862745,2.196078431,29.9745098,518.2117647,24.80490196,0.374509804,988.1784314,360.3686275,201.8333333,365.6960784,21.56862745,1.696078431,29.9745098,492.7509804,18.70392157,0.374509804,1041.118627,375.0009804,200.5460784,391.4127451,21.56862745,0.25,0.946078431,29.9745098,514.0362745,28.49215686,1.624509804,984.7215686,373.6480392,125.1794118,356.7833333,21.56862745,17.5,0.946078431,29.9745098,565.4509804,28.43627451,2.367647059,994.5098039,404.4539216
Region I (Ilocos region),La Union,174.1372549,217.922549,32.75686275,0.611764706,18.72647059,106.3098039,0.5,633.7313725,255.1705882,156.5480392,183.9460784,32.75686275,0.861764706,18.72647059,109.5843137,0.25,,671.6519608,265.6490196,187.85,165.8539216,32.75686275,,18.72647059,93.36470588,,,701.854902,239.65,164.8127451,182.472549,32.75686275,0.25,,18.72647059,116.8970588,,,684.2343137,240.6901961,84.91568627,176.7411765,32.75686275,1.75,,18.72647059,148.7019608,,,738.8382353,238.7039216
